# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: C:\Users\Bianca\Documents\ufmg\3-periodo\lsd\vending-machine\rtl\Vending_Machine\Vending_Machine_PIN_PLANNER.csv
# Generated on: Fri Feb 07 16:39:28 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clk,Input,PIN_P11,3,B3_N0,PIN_M8,,,,,,
coin_inserted_more_coins,Input,PIN_B8,7,B7_N0,PIN_C14,,,,,,
coin_value[3],Input,PIN_C12,7,B7_N0,PIN_A16,,,,,,
coin_value[2],Input,PIN_D12,7,B7_N0,PIN_A17,,,,,,
coin_value[1],Input,PIN_C11,7,B7_N0,PIN_H14,,,,,,
coin_value[0],Input,PIN_C10,7,B7_N0,PIN_C15,,,,,,
libera_produto,Output,PIN_A8,7,B7_N0,PIN_A18,,,,,,
product_chosen_not_more_coins,Input,PIN_A7,7,B7_N0,PIN_E13,,,,,,
product_selection[3],Input,PIN_F15,7,B7_N0,PIN_D14,,,,,,
product_selection[2],Input,PIN_B14,7,B7_N0,PIN_B16,,,,,,
product_selection[1],Input,PIN_A14,7,B7_N0,PIN_B14,,,,,,
product_selection[0],Input,PIN_A13,7,B7_N0,PIN_A4,,,,,,
retorna_troco,Output,PIN_A9,7,B7_N0,PIN_C16,,,,,,
troco_total[7],Output,,,,PIN_J12,,,,,,
troco_total[6],Output,,,,PIN_A12,,,,,,
troco_total[5],Output,,,,PIN_H13,,,,,,
troco_total[4],Output,,,,PIN_A13,,,,,,
troco_total[3],Output,,,,PIN_C12,,,,,,
troco_total[2],Output,,,,PIN_A15,,,,,,
troco_total[1],Output,,,,PIN_C13,,,,,,
troco_total[0],Output,,,,PIN_A14,,,,,,
valor_displays[41],Output,PIN_N20,6,B6_N0,PIN_F7,,,,,,
valor_displays[40],Output,PIN_N19,6,B6_N0,PIN_E8,,,,,,
valor_displays[39],Output,PIN_M20,6,B6_N0,PIN_C4,,,,,,
valor_displays[38],Output,PIN_N18,6,B6_N0,PIN_B8,,,,,,
valor_displays[37],Output,PIN_L18,6,B6_N0,PIN_L9,,,,,,
valor_displays[36],Output,PIN_K20,6,B6_N0,PIN_J10,,,,,,
valor_displays[35],Output,PIN_J20,6,B6_N0,PIN_B10,,,,,,
valor_displays[34],Output,PIN_F20,6,B6_N0,PIN_C9,,,,,,
valor_displays[33],Output,PIN_F19,6,B6_N0,PIN_A20,,,,,,
valor_displays[32],Output,PIN_H19,6,B6_N0,PIN_A19,,,,,,
valor_displays[31],Output,PIN_J18,6,B6_N0,PIN_H11,,,,,,
valor_displays[30],Output,PIN_E19,6,B6_N0,PIN_C11,,,,,,
valor_displays[29],Output,PIN_E20,6,B6_N0,PIN_A8,,,,,,
valor_displays[28],Output,PIN_F18,6,B6_N0,PIN_C7,,,,,,
valor_displays[27],Output,PIN_E17,6,B6_N0,PIN_P9,,,,,,
valor_displays[26],Output,PIN_D19,6,B6_N0,PIN_Y16,,,,,,
valor_displays[25],Output,PIN_C20,6,B6_N0,PIN_AB2,,,,,,
valor_displays[24],Output,PIN_C19,7,B7_N0,PIN_T6,,,,,,
valor_displays[23],Output,PIN_E21,6,B6_N0,PIN_M22,,,,,,
valor_displays[22],Output,PIN_E22,6,B6_N0,PIN_AA14,,,,,,
valor_displays[21],Output,PIN_F21,6,B6_N0,PIN_B19,,,,,,
valor_displays[20],Output,PIN_B22,6,B6_N0,PIN_C10,,,,,,
valor_displays[19],Output,PIN_C22,6,B6_N0,PIN_B12,,,,,,
valor_displays[18],Output,PIN_B21,6,B6_N0,PIN_A7,,,,,,
valor_displays[17],Output,PIN_A21,6,B6_N0,PIN_J11,,,,,,
valor_displays[16],Output,PIN_B19,7,B7_N0,PIN_A9,,,,,,
valor_displays[15],Output,PIN_A20,7,B7_N0,PIN_B11,,,,,,
valor_displays[14],Output,PIN_B20,6,B6_N0,PIN_H12,,,,,,
valor_displays[13],Output,PIN_B17,7,B7_N0,PIN_D13,,,,,,
valor_displays[12],Output,PIN_A18,7,B7_N0,PIN_D12,,,,,,
valor_displays[11],Output,PIN_A17,7,B7_N0,PIN_B15,,,,,,
valor_displays[10],Output,PIN_B16,7,B7_N0,PIN_A11,,,,,,
valor_displays[9],Output,PIN_E18,6,B6_N0,PIN_J13,,,,,,
valor_displays[8],Output,PIN_D18,6,B6_N0,PIN_A10,,,,,,
